Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: bufferSize,Param: inputFile,Param: nbRows,Param: quoted,Param: wrapWithBufferedReader
CommonsCsvParser,avgt,1,50,21.12433669,0.152021092,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
CommonsCsvParser,avgt,1,50,20.18314032,0.178524342,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
CommonsCsvParser,avgt,1,50,42.51199036,0.15345884,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
CommonsCsvParser,avgt,1,50,35.31206019,0.085319732,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
CommonsCsvParser,avgt,1,50,254.6730598,0.246594761,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
CommonsCsvParser,avgt,1,50,187.0443878,0.176593403,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
CommonsCsvParser,avgt,1,50,2558.445432,6.147623109,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,1870.362587,4.942487094,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,24915.97828,90.40038884,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,17812.88609,36.05278671,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,247869.2059,731.910444,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,179474.8741,678.0632539,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,2427771.469,4126.325271,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
CommonsCsvParser,avgt,1,50,1747955.819,4005.611015,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
CommonsCsvParser,avgt,1,50,7717016.946,21713.86633,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
CommonsCsvParser,avgt,1,50,5539298.624,8399.60419,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
GenJavaParser,avgt,1,50,22.89590375,0.135221913,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
GenJavaParser,avgt,1,50,22.14096435,0.116255416,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
GenJavaParser,avgt,1,50,51.05753034,0.102994243,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
GenJavaParser,avgt,1,50,44.03490785,0.107895567,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
GenJavaParser,avgt,1,50,388.2256772,0.399125772,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
GenJavaParser,avgt,1,50,310.8043119,0.256144186,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
GenJavaParser,avgt,1,50,4516.865257,4.655078222,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
GenJavaParser,avgt,1,50,3645.567067,3.724233182,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
GenJavaParser,avgt,1,50,43293.45125,121.4804059,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
GenJavaParser,avgt,1,50,34678.03705,57.5484852,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
GenJavaParser,avgt,1,50,439501.0677,1331.329638,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
GenJavaParser,avgt,1,50,346876.2411,530.4647637,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
GenJavaParser,avgt,1,50,4696391.122,5588.553768,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
GenJavaParser,avgt,1,50,3558724.862,7760.463821,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
GenJavaParser,avgt,1,50,1.48E+07,20946.44027,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
GenJavaParser,avgt,1,50,9636547.343,27292.94813,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
JCsvParser,avgt,1,50,22.93970993,0.146822132,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
JCsvParser,avgt,1,50,21.99618335,0.167679804,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
JCsvParser,avgt,1,50,41.50541109,0.09902896,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
JCsvParser,avgt,1,50,34.37281052,0.184434701,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
JCsvParser,avgt,1,50,228.1858958,0.541880962,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
JCsvParser,avgt,1,50,162.1305846,0.179213328,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
JCsvParser,avgt,1,50,2156.423802,2.314225574,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
JCsvParser,avgt,1,50,1341.850325,5.033573599,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
JCsvParser,avgt,1,50,21638.6554,203.9135462,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
JCsvParser,avgt,1,50,12723.22926,15.16115645,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
JCsvParser,avgt,1,50,221701.1282,178.392403,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
JCsvParser,avgt,1,50,127770.35,700.7888707,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
JCsvParser,avgt,1,50,2117656.175,15560.62387,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
JCsvParser,avgt,1,50,1246264.46,1259.009765,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
